frequency;V(/Sc1-) (phase);V(/Sc1-) (gain);V(/Sc2-) (phase);V(/Sc2-) (gain);
17278.3;-5.02924;-13.9628;-5.90233;-0.0112603;
17782.8;-5.1762;-13.9629;-6.07462;-0.0119495;
18302.1;-5.32746;-13.9631;-6.25193;-0.0126794;
18836.5;-5.48315;-13.9632;-6.43441;-0.0134526;
19386.5;-5.6434;-13.9634;-6.62221;-0.0142716;
19952.6;-5.80834;-13.9636;-6.81549;-0.015139;
20535.3;-5.97811;-13.9638;-7.01441;-0.0160578;
21134.9;-6.15285;-13.964;-7.21912;-0.0170311;
21752;-6.33271;-13.9642;-7.42981;-0.0180619;
22387.2;-6.51784;-13.9644;-7.64664;-0.0191538;
23040.9;-6.7084;-13.9647;-7.86979;-0.0203103;
23713.7;-6.90454;-13.9649;-8.09944;-0.0215354;
24406.2;-7.10643;-13.9652;-8.33578;-0.022833;
25118.9;-7.31424;-13.9655;-8.57902;-0.0242074;
25852.3;-7.52815;-13.9658;-8.82934;-0.0256633;
